Gender,Contacted,Primary_Bank_Type,City_Category_B,City_Category_C,Employer_Category1_B,Employer_Category1_C,Source_Category_B,Source_Category_C,Source_Category_D,Source_Category_E,Source_Category_F,Source_Category_G,Age_Cat_Middle-Aged,Age_Cat_Old,Age_Cat_Young,Employer_Cat3_MSF,Employer_Cat3_MSME,Employer_Cat3_PVT,Employer_Cat3_VSF,Employer_Category2,Var1,Lead_Creation_Month,City_Code,Source,Monthly_Income,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,loan_period_months,emi_recal,EMI-Monthly_Income_Ratio,Income_loan_Ratio,IR_15-20,IR_20-25,IR_25+
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,9,-0.267721194,0.059790874,2070,0,23400,3,18.65,36,854,0.412560386,0.862089969,1,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,2,8,0.148587593,-0.279868749,2000,0,30000,4,20,48,913,0.4565,1.11060881,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,9,0.148587593,0.059790874,3800,800,18000,4,16.168,48,512,0.345263158,0.350718572,1,0,0
1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,7,8,0.034821904,0.059790874,8200,0,120000,4,13.766,48,3265,0.398170732,1.08352079,0,0,0
1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,7,7,-0.267721194,0.059790874,2500,0,20000,2,19,24,1008,0.4032,0.628397273,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,10,-0.267721194,0.059790874,1070,0,19600,5,28.3,60,614,0.573831776,1.316754842,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0.148587593,0.059790874,1510,0,9000,3.2,31.1,38.4,373,0.247019868,0.451861352,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,9,0.148587593,0.059790874,1300,600,7800,3.4,35.3,40.8,331,0.716153846,0.452192589,0,0,1
1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,7,2,-0.267721194,0.059790874,2500,0,42000,4,14.52,48,1159,0.4636,1.243881867,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,10,5,0.148587593,0.059790874,12250,0,153000,3,15.49,36,5341,0.436,0.95249438,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,9,0.034821904,0.059790874,1600,0,37000,5,18.34,60,946,0.59125,1.662319012,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,9,0.148587593,0.059790874,1114,236,8400,2.8,34.8,33.6,395,0.566427289,0.578453722,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0,7,0.148587593,-0.279868749,4200,1760,32800,4.4,17.848,52.8,901,0.633571429,0.571425371,1,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0.034821904,0.059790874,1780,0,28600,4,31.5,48,1055,0.592696629,1.189640897,0,0,1
1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,7,-0.267721194,0.059790874,1550,0,10000,2,30,24,559,0.360645161,0.506771994,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0.034821904,0.059790874,1200,0,19000,4,31.5,48,701,0.584166667,1.172309299,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,12,0.034821904,0.059790874,1710,0,39000,5,18.37,60,998,0.583625731,1.63946114,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,10,9,0.148587593,0.059790874,7900,2600,20000,2,15.77,24,977,0.45278481,0.198859896,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,4,4,3,0.148587593,0.059790874,2100,0,20000,2,16.75,24,986,0.46952381,0.748091991,1,0,0
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,8,-0.267721194,-0.279868749,1500,0,33000,5,20,60,874,0.582666667,1.581449438,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,7,8,0.148587593,0.059790874,3000,1000,20000,5,15.5,60,481,0.493666667,0.479227102,1,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,10,9,0.148587593,0.059790874,7500,0,40000,3.2,14.298,38.4,1304,0.173866667,0.404332232,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0.034821904,0.059790874,2000,900,24200,5,17.83,60,612,0.756,0.869797191,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,9,0.034821904,0.059790874,1850,0,24000,3,28.5,36,999,0.54,0.989342334,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,4,2,9,-0.267721194,0.059790874,1940,300,10000,4,19.35,48,301,0.309793814,0.381652512,1,0,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,8,-0.267721194,-0.279868749,1650,3,10000,3,31.1,36,431,0.263030303,0.462192757,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,7,9,-0.267721194,0.059790874,5000,500,10000,3,14.85,36,346,0.1692,0.15252361,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,4,8,0.148587593,0.059790874,2300,0,33000,5,24,60,949,0.412608696,1.031380068,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0.148587593,-0.279868749,1500,0,10000,3.8,19.3,45.6,311,0.207333333,0.496530626,1,0,0
0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,5,-0.267721194,0.059790874,1200,201.9,8400,2,32.6,24,481,0.569083333,0.549847614,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9,-0.267721194,0.059790874,1800,0,20400,2,18.31,24,1022,0.567777778,0.89022947,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,9,0.034821904,0.059790874,3100,2000,14800,3.6,16.948,43.2,460,0.793548387,0.357688326,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,9,0.148587593,0.059790874,3500,0,60000,4,14.09,48,1642,0.469142857,1.269267211,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,7,9,0.148587593,0.059790874,4000,0,72000,4,13.99,48,1967,0.49175,1.332730572,0,0,0
0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,9,0.034821904,0.059790874,1700,520,10000,3,13,36,337,0.504117647,0.448598853,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,9,0.148587593,0.059790874,1480,0,12000,3.2,28,38.4,477,0.322297297,0.614694271,0,0,1
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,2,8,0.034821904,0.059790874,1500,280,10000,3,31.5,36,433,0.475333333,0.508412033,0,0,1
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,10,2,0.148587593,0.059790874,5000,0,30000,3,13.75,36,1022,0.2044,0.45757083,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0,8,-0.267721194,-0.279868749,2000,0,39000,4,20,48,1187,0.5935,1.443791453,1,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,9,0.148587593,0.059790874,9800,4350,38400,4,14.02,48,1050,0.551020408,0.29011822,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,10,7,0.148587593,-0.279868749,20000,0,100000,5,13.892,60,2321,0.11605,0.359420327,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,7,8,0.034821904,-0.279868749,3300,0,50000,4,16.796,48,1437,0.435454545,1.121827081,1,0,0
1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,2,0.034821904,0.059790874,1450,0,10000,3,31.5,36,433,0.29862069,0.525943482,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,2,1,0.034821904,0.059790874,2000,0,34000,4,21.4,48,1060,0.53,1.258689985,0,1,0
0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,4,2,1,-0.267721194,0.059790874,1750,254.6,26000,4,19.36,48,782,0.592342857,1.100031583,1,0,0
1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,7,9,-0.267721194,0.059790874,3300,0,30000,3,19,36,1100,0.333333333,0.693289136,1,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10,8,0.148587593,0.059790874,10000,0,10000,2,15.75,24,488,0.0488,0.078549659,1,0,0
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10,2,0.034821904,-0.279868749,8500,0,120000,5,13,60,2730,0.321176471,1.014833864,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,10,7,0.148587593,0.059790874,25000,0,20000,5,15,60,476,0.01904,0.057507252,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,-0.267721194,0.059790874,1200,400,6600,3,35,36,299,0.5825,0.419439927,0,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,4,2,0.148587593,-0.279868749,2000,0,29000,5,32.5,60,983,0.4915,1.042318948,0,0,1
1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,2,8,-0.267721194,0.059790874,1400,0,21000,4,35.5,48,825,0.589285714,1.11060881,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,8,0.034821904,-0.279868749,2750,0,41000,3,15.5,36,1431,0.520363636,1.136994183,1,0,0
1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,7,-0.267721194,-0.279868749,3098,0,36000,3,18.25,36,1306,0.421562298,0.886192698,1,0,0
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4,10,7,-0.267721194,-0.279868749,3442.8,457.6,30000,4,16.75,48,862,0.383292669,0.645177652,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,6,0.034821904,0.059790874,2400,0,40000,4,17.96,48,1174,0.489166667,1.234009789,1,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,8,0.148587593,-0.279868749,2900,0,44000,4,22.4,48,1396,0.48137931,1.123374428,0,1,0
1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,7,-0.267721194,0.059790874,1512.3,0,10000,5,19.3,60,261,0.172584805,0.475329401,1,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,7,-0.267721194,0.059790874,3000,0,45000,5,19,60,1167,0.389,1.07826098,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,4,7,9,0.148587593,0.059790874,2500,0,47600,4,16,48,1349,0.5396,1.409732783,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,10,9,0.148587593,0.059790874,10000,0,10000,3,15.5,36,349,0.0349,0.076261805,1,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,10,2,-0.267721194,0.059790874,6000,0,101600,4,15.848,48,2871,0.4785,1.253753945,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,0.148587593,-0.279868749,1200,0,18000,4,35.5,48,707,0.589166667,1.11060881,0,0,1
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,7,0.034821904,0.059790874,1100,0,19600,5,28.3,60,614,0.558181818,1.280843347,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,10,2,0.034821904,0.059790874,6000,2305.4,20000,3,15.01,36,693,0.499733333,0.254206016,1,0,0
1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,10,9,0.034821904,0.059790874,4500,0,50000,5,15.25,60,1196,0.265777778,0.798711837,1,0,0
0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,7,9,0.148587593,-0.279868749,3200,0,87000,5,16.53,60,2140,0.66875,1.954348027,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,7,12,-0.267721194,0.059790874,9500,0,50000,3,16.05,36,1759,0.185157895,0.401377921,1,0,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,2,12,-0.267721194,-0.279868749,2000,0,47000,5,18.23,60,1199,0.5995,1.689275536,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,8,0.034821904,0.059790874,4500,2500,52000,4.2,16.16,50.4,1428,0.872888889,0.850537057,1,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,10,7,0.034821904,-0.279868749,5000,0,20000,2,14.85,24,968,0.1936,0.314198636,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,9,-0.267721194,0.059790874,5000,0,79600,4.8,15.91,57.6,1985,0.397,1.151179743,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,7,0.148587593,0.059790874,1463.6,0,23000,4,31.5,48,848,0.579393277,1.163523851,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,7,9,0.148587593,0.059790874,3000,965,18000,2,19.148,24,909,0.624666667,0.471297955,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,-0.267721194,0.059790874,4000,1700,32800,4.4,17.848,52.8,901,0.65025,0.599996639,1,0,0
0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,9,0.034821904,0.059790874,12600,10000,57600,4.2,14.648,50.4,1537,0.915634921,0.336476198,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,10,9,0.034821904,0.059790874,19950,550,20000,4,15.25,48,559,0.055588972,0.074226153,1,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,8,0.148587593,0.059790874,4800,2600,41400,4,16.3,48,1180,0.7875,0.638600066,1,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,7,0.148587593,-0.279868749,2000,0,30000,4,24,48,978,0.489,1.11060881,0,1,0
1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,8,0.148587593,-0.279868749,3000,0,46000,4,19,48,1375,0.458333333,1.135289006,1,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,7,-0.267721194,-0.279868749,3200,0,49000,5,18.45,60,1256,0.3925,1.100724751,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0.148587593,0.059790874,2100,1400,13600,2.6,21.63,31.2,574,0.94,0.499760104,0,1,0
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,8,-0.267721194,0.059790874,2500,1040,11000,3,26,36,443,0.5932,0.335551942,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,9,0.148587593,0.059790874,2300,731,10000,2,21.65,24,517,0.542608696,0.341520257,0,1,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,7,7,-0.267721194,0.059790874,2500,0,50800,5,15.8,60,1230,0.492,1.460684208,1,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,0,7,0.034821904,0.059790874,1605.9,0,30400,4.6,19.68,55.2,841,0.523693879,1.376964063,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,10,7,0.148587593,0.059790874,4400,0,70000,5,16.35,60,1715,0.389772727,1.143610131,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,9,0.034821904,0.059790874,1663,0,37200,5,20,60,986,0.59290439,1.607989917,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,10,2,0.034821904,0.059790874,5150,250,50000,3,17.098,36,1785,0.395145631,0.740405873,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,2,9,0.148587593,0.059790874,2000,0,24000,2,23.63,24,1264,0.632,0.942595909,0,1,0
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2,4,7,0.034821904,0.059790874,2216,0,35000,5,28.5,60,1100,0.496389892,1.135353018,0,0,1
1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,8,0.148587593,0.059790874,1750,0,41000,5,18.25,60,1047,0.598285714,1.68414096,1,0,0
1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,4,7,7,-0.267721194,-0.279868749,2600,1000,32000,5,18.25,60,817,0.698846154,0.884726958,1,0,0
1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,10,7,0.148587593,0.059790874,5600,1600,30000,4,24,48,978,0.460357143,0.396646004,0,1,0
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,7,8,0.148587593,0.059790874,2750,0,37000,4,14.25,48,1016,0.369454545,0.996182448,0,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,4,4,3,0.034821904,0.059790874,2500,0,36000,5,19,60,934,0.3736,1.035130541,1,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,7,0.148587593,-0.279868749,6800,0,100000,5,14.968,60,2377,0.349558824,1.057118608,0,0,0
1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,7,4,-0.267721194,-0.279868749,50000,0,150000,5,14.678,60,3543,0.07086,0.215652196,0,0,0
